95437,Fort Bragg,CA
99301,Pasco,WA
95819,Sacramento,CA
98682,Vancouver,WA
98012,Bothell,WA
97006,Beaverton,OR
97007,Beaverton,OR
98052,Redmond,WA
97701,Bend,OR
97229,Portland,OR
98208,Everett,WA
97045,Oregon City,OR
97301,Salem,OR
97124,Hillsboro,OR
99208,Spokane,WA
98115,Seattle,WA
98103,Seattle,WA
97206,Portland,OR
97402,Eugene,OR
98391,Bonney Lake,WA
99336,Kennewick,WA
98225,Bellingham,WA
98632,Longview,WA
98270,Marysville,WA
97223,Portland,OR
98105,Seattle,WA
98023,Federal Way,WA
97702,Bend,OR
98003,Federal Way,WA
98387,Spanaway,WA
97123,Hillsboro,OR
98118,Seattle,WA
98133,Seattle,WA
98042,Kent,WA
98661,Vancouver,WA
97504,Medford,OR
98092,Auburn,WA
98902,Yakima,WA
97501,Medford,OR
97401,Eugene,OR
97405,Eugene,OR
97080,Gresham,OR
98837,Moses Lake,WA
98223,Arlington,WA
97305,Salem,OR
98226,Bellingham,WA
98058,Renton,WA
99205,Spokane,WA
98034,Kirkland,WA
97202,Portland,OR
98801,Wenatchee,WA
98125,Seattle,WA
97330,Corvallis,OR
98501,Olympia,WA
97219,Portland,OR
98204,Everett,WA
98374,Puyallup,WA
99362,Walla Walla,WA
97303,Salem,OR
98087,Lynnwood,WA
97236,Portland,OR
98036,Lynnwood,WA
97233,Portland,OR
98503,Lacey,WA
98033,Kirkland,WA
97478,Springfield,OR
97230,Portland,OR
98122,Seattle,WA
98032,Kent,WA
98059,Renton,WA
97756,Redmond,OR
99206,Spokane,WA
97302,Salem,OR
98030,Kent,WA
98277,Oak Harbor,WA
97030,Gresham,OR
98026,Edmonds,WA
97128,Mcminnville,OR
98198,Seattle,WA
98006,Bellevue,WA
98031,Kent,WA
97477,Springfield,OR
98584,Shelton,WA
98604,Battle Ground,WA
98908,Yakima,WA
97222,Portland,OR
97322,Albany,OR
98290,Snohomish,WA
98404,Tacoma,WA
98004,Bellevue,WA
97527,Grants Pass,OR
98203,Everett,WA
97526,Grants Pass,OR
98038,Maple Valley,WA
98513,Olympia,WA
97266,Portland,OR
98056,Renton,WA
98117,Seattle,WA
97224,Portland,OR
97211,Portland,OR
99163,Pullman,WA
98155,Seattle,WA
98502,Olympia,WA
98366,Port Orchard,WA
97203,Portland,OR
98926,Ellensburg,WA
97217,Portland,OR
97404,Eugene,OR
98444,Tacoma,WA
98011,Bothell,WA
98001,Auburn,WA
97267,Portland,OR
